"Name","Right to assemble"
"Title","Right to assemble"
"Date","June 25, 2024 at 3:38 PM (GMT)"
"Duration","3:22:00"
"Participant Count","363"
"Participant Limit","350"
"Exercise Type","Binary"
"",""
"Question ID","Participant ID","Thought ID","Vote","Timestamp"
"db8266fb-c4e8-409d-9d38-87f009b756be","8ba299c2-74ac-4725-9396-33f8b03f06a0","93f332ca-365f-4fe8-ab0b-f8518f80f283","Agree","June 25, 2024 at 3:39 PM (GMT)"
"db8266fb-c4e8-409d-9d38-87f009b756be","894ddd1a-3b1f-4f16-9ac4-a415797f67d9","93f332ca-365f-4fe8-ab0b-f8518f80f283","Agree","June 25, 2024 at 3:40 PM (GMT)"
"db8266fb-c4e8-409d-9d38-87f009b756be","894ddd1a-3b1f-4f16-9ac4-a415797f67d9","e3784a19-ff3b-42d2-8675-e4087ae25af4","Disagree","June 25, 2024 at 3:40 PM (GMT)"
"db8266fb-c4e8-409d-9d38-87f009b756be","35bd07d5-e7cc-461d-8bf2-0632571e9ac8","e3784a19-ff3b-42d2-8675-e4087ae25af4","Agree","June 25, 2024 at 3:40 PM (GMT)"
"db8266fb-c4e8-409d-9d38-87f009b756be","35bd07d5-e7cc-461d-8bf2-0632571e9ac8","93f332ca-365f-4fe8-ab0b-f8518f80f283","Agree","June 25, 2024 at 3:40 PM (GMT)"
"db8266fb-c4e8-409d-9d38-87f009b756be","35bd07d5-e7cc-461d-8bf2-0632571e9ac8","e858bcb8-ddd6-42b2-83b0-18ec5da7dc8d","Agree","June 25, 2024 at 3:41 PM (GMT)"
"db8266fb-c4e8-409d-9d38-87f009b756be","023d3571-9c96-446a-a7b2-c8d231c2c1cc","e3784a19-ff3b-42d2-8675-e4087ae25af4","Agree","June 25, 2024 at 3:41 PM (GMT)"
"db8266fb-c4e8-409d-9d38-87f009b756be","023d3571-9c96-446a-a7b2-c8d231c2c1cc","454434db-7167-4a37-a4d9-73ce4223e627","Agree","June 25, 2024 at 3:41 PM (GMT)"
"db8266fb-c4e8-409d-9d38-87f009b756be","023d3571-9c96-446a-a7b2-c8d231c2c1cc","e858bcb8-ddd6-42b2-83b0-18ec5da7dc8d","Agree","June 25, 2024 at 3:41 PM (GMT)"
"db8266fb-c4e8-409d-9d38-87f009b756be","023d3571-9c96-446a-a7b2-c8d231c2c1cc","06ab99e6-da0c-4cfb-ba1c-437e069f2474","Disagree","June 25, 2024 at 3:41 PM (GMT)"
